title,price,loc,link,desc,date
2 værelses lejlighed på 85 m²,9025,"Frederiksberg, Finsensvej",https://www.boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-frederiksberg/id-6053691,"Udlejes kun til studerende! 

Beliggende overfor CBS og metroen på Frederiksberg udlejes 2 vær. på 85 m² beliggende på 3. sal i nyopført ejendom. 

Indgang til lejligheden sker direkte fra altangang ind i skøn lys stue/køkken. 

Køkken med flotte elementer og hårde hvidevarer bl.a. indbygningsovn og kogeplader. 

Lækkert flisebadeværelse med bruseniche, skabs arrangement og combimaskine. 

Fra stue er der adgang til dejligt lyst soveværelse med fransk altan. 

Lejligheden har lakerede gulve, depotrum, stor fælles tagterrasse samt mulighed for leje af parkerings plads i p-kælder under ejendommen. 

Boligerne kan KUN udlejes til unge under uddannelse. 

Leje pr. mdr. kr. 9.025,00 + varme kr. 500,00 + vand kr. 400,00.

Depositum kr. 27.075,00.

Forudbetalt leje kr. 27.075,00.",2020-10-15T18:44:14Z
2 værelses lejlighed på 52 m²,12000,"København S, Caprivej",https://www.boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-s/id-6053680,"Til internationale lejere uden tidligere bopæl i Danmark.
Fin møbleret lejligheden på Amager. Lejligheden er blevet løbende 
renoveret og fremstår moderne og lækker.
Lejligheden er beliggende på 2. sal og indeholder lækkert køkken med 
opvaskemaskine, vaskemaskine samt gaskomfur. Dejligt stort soveværelse med 
udgang til lille altan.
Hyggelig opholdstue med spiseplads og sofa hjørne samt badeværelse fra 2011 
med brus.
Super god beliggenhed med få minutters gang til Lergravsparken Metro station 
samt indkøb og grønne områder.
Udlejes ikke som delebolig.",2020-10-15T18:44:14Z
2 værelses lejlighed på 59 m²,8000,"København S, Romsdalsgade",https://www.boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-s/id-6053656,"En rigtig hyggelig 2-værelses lejlighed beliggende i Romsdalsgade udlejes pr. 01.01.2021.

Lejemålet er tidligere moderniseret. Lejemålet overtages nyistandsat ved indflytning, d.v.s. nymalet og rengjort overalt samt med nyslebne gulve. Der er fælles vaskeri i kælderen samt fælles gårdanlæg. 

Aconto beløbet dækker varme, vand er inkluderet i huslejen og el afregnes direkte med værket. Der betales 3 mdr. depositum + 3 mdr. forudbetalt leje.",2020-10-15T18:44:14Z
2 værelses lejlighed på 63 m²,11895,"København S, Amager Strandvej",https://www.boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-s/id-6053462,"Udover en flot lys og moderne bolig får du en skøn beliggenhed tæt på Amager Strandpark og Sundby Sejlforening. Og som en ekstra bonus kan Kgs. Nytorv nås på få minutter med Metroen.  
 
boligen byder på velindrettede 1-til 3-værelses boliger med en kombination af spanske, franske og møblerbare altaner. Boligerne i stueetagen og 1. sal har ikke altaner, men fremstår til gengæld newyorkeragtige med sine industrielle vinduespartier og højt til loftet. Ejendommen ligger ud til en grøn kile med sti og cykelparkering. Mod syd er der adgang til nabobebyggelsens grønne og solbeskinnede gårdrum.  
 
I denne ejendom får du blandet andet følgende:
- Gulvvarme i alle rum 
- Designer køkken fra HTH- Mulighed for parkering
- Fællesrum og gæstebolig- Fortrinsret til daginstitution 
- Der kan ansøges om tilladelse til husdyr  
 
 
Kontakt os for en fremvisning!",2020-10-15T18:44:14Z
2 værelses lejlighed på 64 m²,11995,"København S, Amager Strandvej",https://www.boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-s/id-6053461,"Udover en flot lys og moderne bolig får du en skøn beliggenhed tæt på Amager Strandpark og Sundby Sejlforening. Og som en ekstra bonus kan Kgs. Nytorv nås på få minutter med Metroen. 
 
boligen byder på velindrettede 1-til 3-værelses boliger med en kombination af spanske, franske og møblerbare altaner. Boligerne i stueetagen og 1. sal har ikke altaner, men fremstår til gengæld newyorkeragtige med sine industrielle vinduespartier og højt til loftet. Ejendommen ligger ud til en grøn kile med sti og cykelparkering. Mod syd er der adgang til nabobebyggelsens grønne og solbeskinnede gårdrum. 
 
I denne ejendom får du blandet andet følgende:
- Gulvvarme i alle rum 
- Designer køkken fra HTH
- Mulighed for parkering
- Fællesrum og gæstebolig
- Fortrinsret til daginstitution 
- Der kan ansøges om tilladelse til husdyr 
 
 
Kontakt os for en fremvisning!",2020-10-15T18:44:14Z
2 værelses lejlighed på 63 m²,11995,"København S, Amager Strandvej",https://www.boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-s/id-6053460,"Udover en flot lys og moderne bolig får du en skøn beliggenhed tæt på Amager Strandpark og Sundby Sejlforening. Og som en ekstra bonus kan Kgs. Nytorv nås på få minutter med Metroen.   
 
boligen byder på velindrettede 1-til 3-værelses boliger med en kombination af spanske, franske og møblerbare altaner. Boligerne i stueetagen og 1. sal har ikke altaner, men fremstår til gengæld newyorkeragtige med sine industrielle vinduespartier og højt til loftet. Ejendommen ligger ud til en grøn kile med sti og cykelparkering. Mod syd er der adgang til nabobebyggelsens grønne og solbeskinnede gårdrum.   
 
I denne ejendom får du blandet andet følgende:
- Gulvvarme i alle rum 
- Designer køkken fra HTH
- Mulighed for parkering- Fællesrum og gæstebolig
- Fortrinsret til daginstitution 
- Der kan ansøges om tilladelse til husdyr   
 
 
Kontakt os for en fremvisning!",2020-10-15T18:44:14Z
2 værelses lejlighed på 84 m²,11400,"København S, Richard MortensensVej",https://www.boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-s/id-6053391,"Lejligheden

Lejligheden fremstår lys og indbydende. Den er opført i klassiske, tidssvarende materialer. Fra entreen er der adgang til badeværelse med gulvvarme, indbyggede spots, separat bruseniche og vaskesøjle. Endvidere er der adgang til værelser med hvide skabe og mulighed for opbevaring. Køkkenet, som er opført i lyse materialer, byder på masser af skabsplads, indbyggede hårde hvidevarer og ligger i forlængelse af stuen. Stuen er med sit vidunderlige lysindfald, en god ramme for hverdagslivet. Lejligheden byder desuden på hele to altaner. En med udsigt mod Kalvebod Fælleds grønne vidder, og en med udsigt mod det hyggelige gårdmiljø. Det er muligt at ansøge om husdyrtilladelse i alle vores lejemål.

Bemærk: 12 måneders bindingsperiode 

NB: billederne viser ikke den eksakte lejlighed, men er i stedet billeder fra en lejlighed med samme planløsning og i samme stand. Der kan forekomme mindre variationer i vindues-, altan- og radiatorplaceringer mellem boliger af samme type. Desuden kan udsigten variere, hvis typebilledet er taget fra en etage lidt højere oppe eller længere nede end den pågældende lejlighed. Derfor kræver vi altid, at du skal med ud på en fremvisning inden du kan underskrive en lejekontrakt, så du er helt sikker på, hvad du får.

Ejendommen

Hesteskoen, der er opført i 2015, har fået sit navn efter de tre karréer, som er placeret i en hestesko, der åbner op mod Kalvebod Fælled og sørger for, at alle lejligheder har udsigt mod det grønne. Bygningens konstruktion er simpel i sin grundform, men altanernes varierede placering tilfører strukturen en dynamisk karakter. Samtidig sikres gode lysforhold til alle lejligheder. Samlingspunktet er et stort, fælles gårdmiljø med plads til både udfoldelse, ophold og leg. Og så er der direkte adgang til sø og egen bådebro, hvorfra det er muligt at sejle kajak. Ejendommen byder desuden også på bl.a. elevator, dørtelefon, affaldsskakt og mulighed for aflåst cykelparkering i kælderen. Der er desuden opført parkeringshus i forlængelse af ejendommen, med mulighed for at leje p-plads (skal dog lejes gennem By&Havn og ikke Balder).

Omgivelser

Ørestad Syd er Københavns nye grønne bydel omgivet af natur og vand - og med en god blanding af boliger, erhverv, uddannelse og kultur. Området er kendetegnet ved sammenstødet mellem moderne arkitektur og Kalvebod Fælleds vidtstrakte natur. Kvarteret er i konstant udvikling og de tusindvis af nye beboere er med til at gøre Ørestad Syd til en bydel fuld af liv og aktivitet. Selvom den fredede natur ligger lige i baghaven, er man som beboer i Ørestad Syd meget tæt på Københavns midte og puls. På cykel eller med metro kan du være på Christianshavn på 11 minutter eller på Nørreport St. på 14 minutter. I Ørestad Syd har du dog adgang til alt hvad hjertet begærer, uden at forlade kvarteret. Foruden den storslåede natur, har du Danmarks største shopping center, Field’s, store kulturoplevelser i Royal Arena, caféliv, sportsklubber, skoler, børnehaver og indkøbsmuligheder lige uden for døren.",2020-10-15T18:44:14Z
2 værelses lejlighed på 74 m²,11700,"København S, Asger Jorns Allé",https://www.boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-s/id-6053266,"Projektudlejning - Himmelbyen

HIMMELBYENs boliger er forskellige i størrelser, udtryk og placering. De mange 2-værelses lejligheder er attraktive for moderne bymennesker, som enten arbejder eller studerer i byen – både i den nære og fjerne del. Lejlighederne med 3 og 4 værelser har plads til lidt større familiesammensætninger.

I de 21 byhuse bor man på to velindrettede etager – ovenikøbet med privat tagterrasse.

Fælles for alle HIMMELBYENs boliger er udsigten. Udsigt ud over byen og de nærliggende grønne områder, udsigt til himlen og ikke mindst udsigten til det store, fælles gårdrum i midten.

Boligerne er indrettet med alle moderne bekvemmeligheder i lyse, lækre materialer og med store vinduespartier. Her er det nemt og indbydende at indrette sig i både praktiske og æstetiske rammer.

HIMMELBYEN rummer flere funktioner. Her er både erhverv, dagligvarebutikker, et underholdningscenter for familier og børn samt self-storage faciliteter – alt sammen i bebyggelsens nederste fire etager. Herfra lægger boligerne sig elegant ovenpå, som et selvstændigt byområde på toppen – helt uafhængigt og fri af de nedre funktioner.

HIMMELBYENs lejeboliger ligger i rolige luftlag i 18 meters højde, med adgang fra bygningens fjerde sal – således har huset fået sit navn. På ankomstetagen indrettes et åbent og grønt gårdrum, som fungerer som fællesareal for beboerne, og dermed skabes et unikt bykvarter i højden mellem boligerne.

Desuden er her opgange og elevatorer til boligerne på de øvrige niveauer.

Boligernes placering gør, at alle har udsigt til det pulserende område og er indrettet så dagslyset kan strømme ind fra flere sider. I HIMMELBYEN bor man midt i Ørestads mange tilbud og nær naturskønne Kalvebod Fælled. Med Metroen, få minutters gang fra boligerne, kan man være på Christianshavn på 11 minutter, på Nørreport på 14 minutter og på Frederiksberg på 18 minutter.

Desuden opføres et p-hus som nabo til HIMMELBYEN. Huset bygges i samme etagehøjde som boligerne og forbindes med en gangbro – dermed kan man nemt og bekvemt komme direkte fra bilen til boligen. P-pladser kan lejes i p-huset.",2020-10-15T18:44:14Z
2 værelses lejlighed på 74 m²,11700,"København S, Asger Jorns Allé",https://www.boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-s/id-6053265,"HIMMELBYENs boliger er forskellige i størrelser, udtryk og placering. De mange 2-værelses lejligheder er attraktive for moderne bymennesker, som enten arbejder eller studerer i byen – både i den nære og fjerne del. Lejlighederne med 3 og 4 værelser har plads til lidt større familiesammensætninger. 
       I de 21 byhuse bor man på to velindrettede etager – ovenikøbet med privat tagterrasse. 
      Fælles for alle HIMMELBYENs boliger er udsigten. Udsigt ud over byen og de nærliggende grønne områder, udsigt til himlen og ikke mindst udsigten til det store, fælles gårdrum i midten. 
      Boligerne er indrettet med alle moderne bekvemmeligheder i lyse, lækre materialer og med store vinduespartier. Her er det nemt og indbydende at indrette sig i både praktiske og æstetiske rammer.Elevator: Ja
Altan: Ja
Terrasse: Nej
Tagterrasse: Nej",2020-10-15T18:44:14Z
2 værelses lejlighed på 67 m²,10950,"København S, Richard Mortensens Vej",https://www.boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-s/id-6053136,"boligen er et spændende byggeri med en stærk arkitektonisk identitet, tegnet af prisvindende Danielsen Architecture. Fælledens landskab er trukket ind som vertikale haver, der pryder facaden samt i den store gårdhave, der byder på alt fra gemmesteder, hyggekroge, høje træer, små bakker og enggræs.   
 
Det sydvestlige hjørne af boligen er bevidst lavere end de andre for at trække sol ind i gårdrummet og give mest mulig udsigt. Denne løsning gør også at lejlighederne gennemstrømmes af dagslys.   
 
Boligerne i boligen er designet, så de matcher en moderne livsstil. Her skal man ikke bekymre sig om græs, der skal slås eller vedligeholdelse af hus. Her får du tid og overskud til de ting, du holder af. Med boligen får du et hjem med både livskvalitet og håndværkskvalitet.   
 
En særlig kvalitet ved boligen er de 32 lejligheder som i forlængelse af lejligheden har tilknyttet en privat, glasoverdækket vinterhave på mellem 18-28 m2. Vinterhaven binder på smukkeste vis ude- og inderummet sammen Her får du et hjem med lækre materialer, funktionelle værelser, egen altan samt gode muligheder for indretning til både børnefamilien, singlen og parret. boligen ligger i en levende bydel – med metroen kun 500 meter fra hoveddøren, Fælleden i baghaven samt indkøbsmuligheder og børneinstitutioner i umiddelbar nærhed.   
 
Velkommen hjem til din grønne oase, i hjertet af Ørestad!",2020-10-15T18:44:14Z
